lgacode,lganame,statecode,source,statename,capitalcity,geozone,longitude,latitude
27012,Lapai,NI,EHA_ABRAHAM,Niger,Minna,North Central,6.780033095,8.586400301
5011,Jama'are,BA,EHA-OLUSEYE,Bauchi,Bauchi,North East,9.980032201,11.74156839
12004,Esan Central,ED,EHA-OLUSEYE,Edo,Benin City,South South,6.266205788,6.794864178
12002,Egor,ED,WHO,Edo,Benin City,South South,5.644565105,6.370501995
5016,Shira,BA,EHA-MICHAEL,Bauchi,Bauchi,North East,10.08769876,11.66928787
33004,Akuku Toru,RI,EHA-OLUSEYE,Rivers,Port Harcourt,South South,6.629915237,4.758759975
35005,Gassol,TA,EHA-OLUSEYE,Taraba,Jalingo,North East,10.91117071,8.813515856
24004,Ekiti,KW,WHO,Kwara,Ilorin,North Central,5.497963905,8.110664368
6003,Kolokuma/Opokuma,BY,EHA-OLUSEYE,Bayelsa,Yenagoa,South South,6.388543129,5.193649769
18007,Kiri Kasama,JI,EHA-OLUSEYE,Jigawa,Dutse,North West,10.360173,12.7444593
14017,Uzo-Uwani,EN,WHO,Enugu,Enugu,South East,7.332398891,6.724825859
5009,Giade,BA,EHA-OLUSEYE,Bauchi,Bauchi,North East,10.34572882,11.60880338
33002,Ahoada East,RI,WHO,Rivers,Port Harcourt,South South,6.669201851,4.905181885
717,Yusufari,YO,EHA-OLUSEYE,Yobe,Damaturu,North East,10.9066658,13.37249947
709,Jakusko,YO,EHA-OLUSEYE,Yobe,Damaturu,North East,11.0107257,12.84760062
15002,Bwari,FC,EHA-ABRAHAM,"Fct, Abuja",Abuja,North Central,7.692970025,9.349402783
12007,Etsako Central,ED,EHA-OLUSEYE,Edo,Benin City,South South,6.414650917,7.166707993
27025,Wushishi,NI,EHA_ABRAHAM,Niger,Minna,North Central,6.000759893,9.780553613
27006,Chanchaga,NI,EHA_ABRAHAM,Niger,Minna,North Central,6.530902758,9.654097232
27013,Lavun,NI,EHA_ABRAHAM,Niger,Minna,North Central,5.503528178,9.747908447
33012,Gokana,RI,WHO,Rivers,Port Harcourt,South South,7.299116163,4.556634909
27008,Gbako,NI,EHA_ABRAHAM,Niger,Minna,North Central,6.147904396,9.565972328
27017,Mokwa,NI,EHA_ABRAHAM,Niger,Minna,North Central,4.760225296,9.547200203
24006,Ilorin East,KW,EHA_ABRAHAM,Kwara,Ilorin,North Central,4.692646503,8.53030014
615,Silame,SO,EHA_ABRAHAM,Sokoto,Sokoto,North West,4.860085082,13.1164345
24014,Oke Ero,KW,WHO,Kwara,Ilorin,North Central,5.45753336,8.206403732
24015,Oyun,KW,EHA_ABRAHAM,Kwara,Ilorin,North Central,4.737548828,8.230746269
10025,Warri South-West,DE,EHA-MICHAEL,Delta,Asaba,South South,5.510555267,5.596110344
802,Bakura,ZA,EHA_ABRAHAM,Zamfara,Gusau,North West,5.688884639,12.8565504
12005,Esan South-East,ED,EHA_ABRAHAM,Edo,Benin City,South South,6.540071964,6.79283905
23006,Ibaji,KO,EHA_ABRAHAM,Kogi,Lokoja,North Central,6.835658073,7.017067909
3017,Mbo,AK,WHO,Akwa Ibom,Uyo,South South,8.328660208,4.72037572
35011,Sardauna,TA,EHA_ABRAHAM,Taraba,Jalingo,North East,11.12836647,7.31663847
24001,Asa,KW,EHA_ABRAHAM,Kwara,Ilorin,North Central,4.234586175,8.80473021
15006,Municipal Area Council,FC,EHA_ABRAHAM,"Fct, Abuja",Abuja,North Central,7.479699504,9.112043155
19021,Soba,KD,EHA-OLUSEYE,Kaduna,Kaduna,North West,7.990522178,11.231916
24005,Ifelodun,KW,EHA_ABRAHAM,Kwara,Ilorin,North Central,4.993227482,8.836270332
610,Kebbe,SO,EHA_ABRAHAM,Sokoto,Sokoto,North West,4.861730544,12.15964644
613,Sabon Birni,SO,EHA-TOSIN,Sokoto,Sokoto,North West,6.044314737,13.69241399
504,Augie,KB,EHA_ABRAHAM,Kebbi,Birnin Kebbi,North West,4.554715234,13.11144451
24012,Moro,KW,EHA_ABRAHAM,Kwara,Ilorin,North Central,4.889473438,9.136140823
20004,Ajingi,KN,EHA_ABRAHAM,Kano,Kano,North West,9.223964879,12.02623167
806,Gummi,ZA,EHA_ABRAHAM,Zamfara,Gusau,North West,5.316619873,12.32819425
30024,Obokun,OS,GRID,Osun,Oshogbo,South West,4.769705695,7.732938422
809,Maradun,ZA,EHA_ABRAHAM,Zamfara,Gusau,North West,6.219635664,13.0152405
33015,Obio/Akpor,RI,WHO,Rivers,Port Harcourt,South South,7.03943491,4.934809208
35003,Donga,TA,EHA_ABRAHAM,Taraba,Jalingo,North East,10.30207855,8.027414453
2009,Lamurde,AD,Oluseye.Abraham,Adamawa,Yola,North East,11.80717754,9.70050621
18021,Biriniwa,JI,EHA_ABRAHAM,Jigawa,Dutse,North West,10.22558111,13.0102
18020,Ringim,JI,EHA_ABRAHAM,Jigawa,Dutse,North West,9.145609148,12.32563302
711,Machina,YO,EHA_ABRAHAM,Yobe,Damaturu,North East,10.21393097,13.11545502
512,Kalgo,KB,EHA-TOSIN,Kebbi,Birnin Kebbi,North West,4.054043038,12.55620587
507,Bunza,KB,EHA-TOSIN,Kebbi,Birnin Kebbi,North West,3.92031436,12.40579065
5001,Alkaleri,BA,EHA_ABRAHAM,Bauchi,Bauchi,North East,10.35734286,10.28227898
5015,Ningi,BA,EHA-OLUSEYE,Bauchi,Bauchi,North East,9.297703329,11.33820637
804,Bukkuyum,ZA,Oluseye.Abraham,Zamfara,Gusau,North West,5.461995948,12.2779949
35004,Gashaka,TA,Oluseye.Abraham,Taraba,Jalingo,North East,11.34613514,8.01522541
17001,Aboh-Mbaise,IM,GRID,Imo,Owerri,South East,7.30015497,5.341230621
5013,Kirfi,BA,EHA-MICHAEL,Bauchi,Bauchi,North East,10.49722571,10.68701525
5003,Bogoro,BA,EHA-MICHAEL,Bauchi,Bauchi,North East,9.535267047,9.752333235
605,Goronyo,SO,EHA-OLUSEYE,Sokoto,Sokoto,North West,5.650899999,13.6119
5019,Warji,BA,EHA-MICHAEL,Bauchi,Bauchi,North East,9.825518812,11.27799509
